Date,DAX,SPGTCLNT,FTMIB,CAC40,AEX,STOXX
1/31/2024,16903.76,1190.37,30744.24,7656.75,818.21,485.67
1/30/2024,16972.34,1185.53,30623.27,7677.47,820.64,485.63
1/29/2024,16941.71,1198.5,30233.61,7640.81,819.91,484.84
1/28/2024,,,,,,
1/27/2024,,,,,,
1/26/2024,16961.39,1188.55,30379.33,7634.14,817.74,483.84
1/25/2024,16906.92,1194.79,30157.8,7464.2,814.87,478.53
1/24/2024,16889.92,1195.24,30338.35,7455.64,806.93,477.09
1/23/2024,16627.09,1198.54,30077.46,7388.04,787.77,471.53
1/22/2024,16683.36,1183.68,30182.32,7413.25,785.6,472.86
1/21/2024,,,,,,
1/20/2024,,,,,,
1/19/2024,16555.13,1171.55,30283.61,7371.64,778.89,469.24
1/18/2024,16567.35,1175.87,30350.53,7401.35,778.17,470.45
1/17/2024,16431.69,1173.03,30098.86,7318.69,771.43,467.71
1/16/2024,16571.68,1209.3,30337.62,7398,778.54,473.06
1/15/2024,16622.22,1244.8,30327.72,7411.68,779.49,474.19
1/14/2024,,,,,,
1/13/2024,,,,,,
1/12/2024,16704.56,1246.91,30470.55,7465.14,781.86,476.76
1/11/2024,16547.03,1253.51,30249.16,7387.62,774.54,472.77
1/10/2024,16689.81,1271.03,30450.78,7426.08,775.02,476.42
1/9/2024,16688.36,1272.71,30408.78,7426.62,777.58,477.26
1/8/2024,16716.47,1273.25,30569.92,7450.24,779.09,478.18
1/7/2024,,,,,,
1/6/2024,,,,,,
1/5/2024,16594.21,1271.38,30440.95,7420.69,778.7,476.38
1/4/2024,16617.29,1274.63,30403.96,7450.63,780.31,477.68
1/3/2024,16538.39,1286.54,30100.84,7411.86,779.75,474.4
1/2/2024,16769.36,1320.71,30524.63,7530.86,783.11,478.51
1/1/2024,,1336.22,,,,
12/31/2023,,,,,,
12/30/2023,,,,,,
12/29/2023,16751.64,1335.42,30351.62,7543.18,786.82,479.02
12/28/2023,16701.55,1347.61,30331.17,7535.16,787.04,478.08
12/27/2023,16742.07,1334.25,30421.51,7571.82,786.84,478.62
12/26/2023,,1324.23,,,,
12/25/2023,,1312.73,,,,
12/24/2023,,,,,,
12/23/2023,,,,,,
12/22/2023,16706.18,1313.63,30353.29,7568.82,785.45,477.6
12/21/2023,16687.42,1308.87,30274.26,7571.4,789.88,476.94
12/20/2023,16733.05,1280.48,30361.21,7583.43,793.69,477.94
12/19/2023,16744.41,1306.74,30363.53,7574.67,792.48,477.04
12/18/2023,16650.55,1277.98,30241.02,7568.86,789.15,475.32
12/17/2023,,,,,,
12/16/2023,,,,,,
12/15/2023,16751.44,1296.39,30373.89,7596.91,793.13,476.61
12/14/2023,16752.23,1283.25,30359.06,7575.85,789.91,476.57
12/13/2023,16766.05,1210.03,30295.69,7531.22,787.02,472.46
12/12/2023,16791.74,1177.04,30342.15,7543.55,786.13,472.72
12/11/2023,16794.43,1195.9,30426.58,7551.53,786.45,473.7
12/10/2023,,,,,,
12/9/2023,,,,,,
12/8/2023,16759.22,1198.88,30403.9,7526.55,781.85,472.26
12/7/2023,16628.99,1207.07,30121.77,7428.52,776.34,468.78
12/6/2023,16656.44,1210.43,30326.29,7435.99,776.18,470.06
12/5/2023,16533.11,1220,30082.88,7386.99,774.07,467.62
12/4/2023,16404.76,1228.44,29914.09,7332.59,770.61,465.78
12/3/2023,,,,,,
12/2/2023,,,,,,
12/1/2023,16397.52,1225.79,29928.45,7346.15,771.37,466.2
11/30/2023,16215.43,1205.74,29737.38,7310.77,765.04,461.61
11/29/2023,16166.45,1193.31,29688.45,7267.64,761.99,459.1
11/28/2023,15992.67,1180.51,29376.74,7250.13,761.37,457.04
11/27/2023,15966.37,1170.17,29342.29,7265.49,764.22,458.41
11/26/2023,0,,,,,
11/25/2023,0,,,,,
11/24/2023,16029.49,1174.76,29432.3,7292.8,765.66,459.98
11/23/2023,15994.73,1184.31,29235.71,7277.93,762.32,458.47
11/22/2023,15957.82,1182.93,29154.91,7260.73,760.04,457.24
11/21/2023,15900.53,1188.1,29153.42,7229.45,758.56,455.85
11/20/2023,15901.33,1203.58,29541.9,7246.93,759.47,456.26
11/19/2023,,,,,,
11/18/2023,,,,,,
11/17/2023,15919.16,1185.27,29498.43,7233.91,758.59,455.82
11/16/2023,15786.61,1181.34,29258.1,7168.4,753.91,451.27
11/15/2023,15748.17,1187.91,29466.93,7209.61,762.82,454.52
11/14/2023,15614.43,1168.48,29344.43,7185.68,758.15,452.6
11/13/2023,15345,1100.8,28925.26,7087.06,753.41,446.62
11/12/2023,,,,,,
11/11/2023,,,,,,
11/10/2023,15234.39,1100.99,28504.43,7045.04,746.31,443.31
11/9/2023,15352.54,1118.33,28644.09,7113.66,749.16,447.8
11/8/2023,15229.6,1122.83,28433.33,7034.16,734.64,444.07
11/7/2023,15152.64,1138.19,28395.9,6986.23,735.74,442.81
11/6/2023,15135.97,1148.46,28592.6,7013.73,735.34,443.52
11/5/2023,,,,,,
11/4/2023,,,,,,
11/3/2023,15189.25,1153.55,28674.83,7047.5,736.31,444.24
11/2/2023,15143.6,1121.7,28479.39,7060.69,736.03,443.47
11/1/2023,14923.27,1088.34,27985.44,6932.63,722.23,436.57
10/31/2023,14810.34,1101.9,27741.91,6885.65,718.6,433.66
10/30/2023,14716.54,1092.41,27339.91,6825.07,714.05,431.12
10/29/2023,,,,,,
10/28/2023,,,,,,
10/27/2023,14687.41,1102.02,27287.45,6795.38,714.25,429.58
10/26/2023,14731.05,1129.94,27507.9,6888.96,719.3,433.2
10/25/2023,14892.18,1123.17,27428.6,6915.07,722.24,435.27
10/24/2023,14879.94,1141.51,27572.74,6893.65,721.73,435.09
10/23/2023,14800.72,1128.46,27558.78,6850.47,719.18,433.18
10/22/2023,,,,,,
10/21/2023,,,,,,
10/20/2023,14798.47,1132.37,27357,6816.22,716.24,433.73
10/19/2023,15045.23,1166.97,27746.82,6921.37,727.61,439.73
10/18/2023,15094.91,1185.84,28135.79,6965.99,729.57,445.02
10/17/2023,15251.69,1213.63,28367.36,7029.7,736.77,449.76
10/16/2023,15237.99,1200.59,28391.6,7022.19,735.39,450.2
10/15/2023,,,,,,
10/14/2023,,,,,,
10/13/2023,15186.66,1192.26,28237.02,7003.53,733.9,449.18
10/12/2023,15425.03,1208.78,28493.35,7104.53,741.52,453.63
10/11/2023,15460.01,1227.51,28419.06,7131.21,737.78,453.16
10/10/2023,15423.52,1213.04,28318.22,7162.43,738.89,452.48
10/9/2023,15128.11,1169.66,27682.06,7021.4,726,443.79
10/8/2023,,,,,,
10/7/2023,,,,,,
10/6/2023,15229.77,1170.29,27810.61,7060.15,726.7,444.93
10/5/2023,15070.22,1159.21,27490.81,6998.25,721.75,441.31
10/4/2023,15099.92,1167.41,27435.59,6996.73,720.86,440.08
10/3/2023,15085.21,1165.65,27482.21,6997.05,719.67,440.7
10/2/2023,15247.21,1198.95,27849.65,7035.07,724.18,445.59
10/1/2023,,,,,,
9/30/2023,,,,,,
9/29/2023,15386.58,1242.88,28243.26,7135.06,728.79,450.22
9/28/2023,15323.5,1239.93,28163.03,7116.24,725.99,448.5
9/27/2023,15217.45,1241.01,28012.3,7071.79,721.74,446.91
9/26/2023,15255.87,1249.1,28098.88,7074.02,721.43,447.7
9/25/2023,15405.49,1269.11,28382.19,7123.88,726.64,450.44
9/24/2023,,,,,,
9/23/2023,,,,,,
9/22/2023,15557.29,1283.31,28575.9,7184.82,730.09,453.26
9/21/2023,15571.86,1294.05,28708.55,7213.9,731.72,454.67
9/20/2023,15781.59,1319.98,29229.3,7330.79,738.32,460.66
9/19/2023,15664.48,1314.86,28757.63,7282.12,734.93,456.52
9/18/2023,15727.12,1309.68,28585.86,7276.14,735.85,456.72
9/17/2023,,,,,,
9/16/2023,,,,,,
9/15/2023,15893.53,1329.6,28895.39,7378.82,741.51,461.93
9/14/2023,15805.29,1342.2,28872.73,7308.67,744.46,460.86
9/13/2023,15654.03,1313.36,28481.77,7222.57,734.93,453.94
9/12/2023,15715.53,1321.83,28584.58,7252.88,736.69,455.4
9/11/2023,15800.99,1314.87,28525.1,7278.27,738.89,456.21
9/10/2023,,,,,,
9/9/2023,,,,,,
9/8/2023,15744.75,1311.26,28233.2,7240.77,739.09,454.66
9/7/2023,15718.66,1311.19,28155.58,7196.1,739.71,453.67
9/6/2023,15741.37,1320.72,28211.46,7194.09,745.43,454.3
9/5/2023,15771.71,1341.62,28652.18,7254.72,747.11,456.9
9/4/2023,15824.85,1359.63,28647.33,7279.51,747.43,457.96
9/3/2023,,,,,,
9/2/2023,,,,,,
9/1/2023,15840.34,1363.98,28650.49,7296.77,746.05,458.13
8/31/2023,15947.08,1363.79,28831.52,7316.7,743.62,458.19
8/30/2023,15891.93,1371.67,28916.7,7364.4,745.43,459.13
8/29/2023,15930.88,1394.35,28889.76,7373.43,745.89,459.83
8/28/2023,15792.61,1364.55,28544.56,7324.71,741.76,455.41
8/27/2023,,,,,,
8/26/2023,,,,,,
8/25/2023,15631.82,1356.01,28208.45,7229.6,733.37,451.39
8/24/2023,15621.49,1350.93,28072.12,7214.46,733.99,451.57
8/23/2023,15728.41,1364.3,28233.8,7246.62,740.73,453.45
8/22/2023,15705.62,1347.68,28164.99,7240.88,738.21,451.7
8/21/2023,15603.28,1349.66,27986.92,7198.06,733.59,448.66
8/20/2023,,,,,,
8/19/2023,,,,,,
8/18/2023,15574.26,1355.02,27761.98,7164.11,735.04,448.44
8/17/2023,15676.9,1357.4,27879.35,7191.74,737.63,451.19
8/16/2023,15789.45,1376.48,28169.96,7260.25,756.85,455.29
8/15/2023,15767.28,1392.74,,7267.7,759.28,455.57
8/14/2023,15904.25,1428.76,28435.49,7348.84,766.21,459.86
8/13/2023,,,,,,
8/12/2023,,,,,,
8/11/2023,15832.17,1432.23,28274.74,7340.19,765.16,459.17
8/10/2023,15996.52,1443.74,28575.05,7433.62,777.79,464.23
8/9/2023,15852.58,1455.91,28308.09,7322.04,770.22,460.58
8/8/2023,15774.93,1439.93,27942.25,7269.47,767,458.6
8/7/2023,15950.76,1444.37,28547.61,7319.76,772.13,459.68
8/6/2023,,,,,,
8/5/2023,,,,,,
8/4/2023,15951.86,1455.94,28586.37,7315.07,772.71,459.28
8/3/2023,15893.38,1461.84,28702.74,7260.53,770.07,457.93
8/2/2023,16020.02,1469.7,28974.54,7312.84,775.03,460.84
8/1/2023,16240.4,1532.45,29356.16,7406.08,786.14,467.16
7/31/2023,16446.83,1550.97,29644.71,7497.78,792,471.35
7/30/2023,,,,,,
7/29/2023,,,,,,
7/28/2023,16469.75,1541.78,29500.2,7476.47,794.27,470.78
7/27/2023,16406.03,1550.65,29597.81,7465.24,792.06,471.74
7/26/2023,16131.46,1578.88,28980.45,7315.07,775.46,465.46
7/25/2023,16211.59,1590.66,28966.41,7415.45,779.81,467.92
7/24/2023,16190.95,1588.38,28908.42,7427.31,771.55,465.68
7/23/2023,,,,,,
7/22/2023,,,,,,
7/21/2023,16177.22,1591.75,28855.09,7432.77,773.75,465.4
7/20/2023,16204.22,1592.93,28815.75,7384.91,769.62,463.93
7/19/2023,16108.93,1609.62,28712.31,7326.94,775.03,461.97
7/18/2023,16125.49,1604.08,28706.76,7319.18,774.48,460.76
7/17/2023,16068.65,1613.77,28608.54,7291.66,773.45,457.92
7/16/2023,,,,,,
7/15/2023,,,,,,
7/14/2023,16105.07,1583.17,28663.3,7374.54,778.93,460.83
7/13/2023,16141.03,1601.32,28774.77,7369.8,774.8,461.36
7/12/2023,16023,1577.63,28552.18,7333.01,768.14,458.54
7/11/2023,15790.34,1543.76,28061.59,7220.01,755.82,451.72
7/10/2023,15673.16,1536.94,27872,7143.69,755.76,448.47
7/9/2023,,,,,,
7/8/2023,,,,,,
7/7/2023,15603.4,1518.79,27778.32,7111.88,753.52,447.65
7/6/2023,15528.54,1503.26,27506.91,7082.29,753.34,447.22
7/5/2023,15937.58,1538.64,28220.18,7310.81,769.89,457.94
7/4/2023,16039.17,1560.96,28386.88,7369.93,778.72,461.3
7/3/2023,16081.04,1562.86,28446.9,7386.7,776.44,460.98
7/2/2023,,,,,,
7/1/2023,,,,,,
6/30/2023,16147.9,1556.65,28230.83,7400.06,773.94,461.93
6/29/2023,15946.72,1524.1,27928.44,7312.73,768.94,456.64
6/28/2023,15949,1528.41,27637.46,7286.32,767.77,456.05
6/27/2023,15846.86,1525.5,27401.09,7215.58,760.56,452.9
6/26/2023,15813.06,1513.11,27242.91,7184.35,757.5,452.68
6/25/2023,,,,,,
6/24/2023,,,,,,
6/23/2023,15829.94,1513.15,27209.66,7163.42,756.6,453.14
6/22/2023,15988.16,1537.34,27410.08,7203.28,759.17,454.7
6/21/2023,16023.13,1550.72,27609.37,7260.97,759.16,457.01
6/20/2023,16111.32,1563.5,27576.11,7294.17,763.09,459.32
6/19/2023,16201.2,1588.92,27754.18,7314.05,768.98,462.04
6/18/2023,,,,,,
6/17/2023,,,,,,
6/16/2023,16357.63,1594.89,27861.8,7388.65,772.72,466.8
6/15/2023,16290.12,1595.22,27731.78,7290.91,772.64,464.33
6/14/2023,16310.79,1579.49,27809.09,7328.53,771.41,464.94
6/13/2023,16230.68,1588.99,27566.03,7290.8,767.71,463.27
6/12/2023,16097.87,1584.97,27410.47,7250.35,760.34,460.73
6/11/2023,,,,,,
6/10/2023,,,,,,
6/9/2023,15949.84,1570.67,27162.02,7213.14,759.32,460.01
6/8/2023,15989.96,1574.46,27275.04,7222.15,760.94,460.7
6/7/2023,15960.56,1571.72,27055.5,7202.79,761.61,460.8
6/6/2023,15992.44,1573.07,27036.67,7209,762.22,461.68
6/5/2023,15963.89,1573.27,26856.85,7200.91,763.34,459.93
6/4/2023,,,,,,
6/3/2023,,,,,,
6/2/2023,16051.23,1578.26,27068.33,7270.69,764.92,462.15
6/1/2023,15853.66,1566.02,26575.69,7137.43,756.35,455.27
5/31/2023,15664.02,1545.03,26051.33,7098.7,748.86,451.76
5/30/2023,15908.91,1565.61,26575.76,7209.75,756.67,456.63
5/29/2023,15952.73,1554.68,26617.35,7303.81,764.1,460.87
5/28/2023,,,,,,
5/27/2023,,,,,,
5/26/2023,15983.97,1561.63,26713.4,7319.18,767.86,461.41
5/25/2023,15793.8,1565.75,26408,7229.27,755.21,456.18
5/24/2023,15842.13,1567.26,26524.54,7253.46,754.13,457.65
5/23/2023,16152.86,1578.01,27174.97,7378.71,765.98,466.1
5/22/2023,16223.99,1587.44,27310.7,7478.16,767.61,468.91
5/21/2023,,,,,,
5/20/2023,,,,,,
5/19/2023,16275.38,1569.88,27520.33,7491.96,767.1,468.85
5/18/2023,16163.36,1577.55,27235.65,7446.89,765.28,465.79
5/17/2023,15951.3,1593.17,27196.46,7399.44,758.28,463.98
5/16/2023,15897.93,1593.71,27198.87,7406.01,756.22,464.7
5/15/2023,15917.24,1620.43,27245.46,7418.21,756.18,466.67
5/14/2023,,,,,,
5/13/2023,,,,,,
5/12/2023,15913.82,1606.25,27347.32,7414.85,752.99,465.49
5/11/2023,15834.91,1560.4,27098.89,7381.78,751.12,463.62
5/10/2023,15896.23,1564.43,27264.77,7361.2,748.29,463.64
5/9/2023,15955.48,1555.56,27383.53,7397.17,748.38,465.41
5/8/2023,15952.83,1567.41,27426.23,7440.91,752.68,466.94
5/7/2023,,,,,,
5/6/2023,,,,,,
5/5/2023,15961.02,1565.08,27348.57,7432.93,750.48,465.31
5/4/2023,15734.24,1543.38,26670.29,7340.77,741.22,460.34
5/3/2023,15815.06,1536.85,26835.31,7403.83,744.24,462.51
5/2/2023,15726.94,1534.97,26630.09,7383.2,744.31,461.08
5/1/2023,,1563.03,,,,466.89
4/30/2023,,,,,,
4/29/2023,,,,,,
4/28/2023,15922.38,1576.62,27077.44,7491.5,758.49,466.64
4/27/2023,15800.45,1593.75,27158,7483.84,752.6,464.03
4/26/2023,15795.73,1572.2,27107.51,7466.66,749.6,463.21
4/25/2023,15872.13,1641.49,27253.48,7531.61,755.45,467.08
4/24/2023,15863.95,1665.94,27537.07,7573.86,762.49,468.97
4/23/2023,,,,,,
4/22/2023,,,,,,
4/21/2023,15881.66,1666.53,27745.81,7577,762.19,469
4/20/2023,15795.97,1662.71,27627.12,7538.71,761.1,467.43
4/19/2023,15895.2,1666.89,27933.61,7549.44,760.22,468.13
4/18/2023,15882.67,1675.32,27891.43,7533.63,763.15,468.62
4/17/2023,15789.53,1675.94,27700.21,7498.18,758.5,466.84
4/16/2023,,,,,,
4/15/2023,,,,,,
4/14/2023,15807.5,1650.25,27872.24,7519.61,761.4,466.91
4/13/2023,15729.46,1666.02,27626.61,7480.83,760.57,464.21
4/12/2023,15703.6,1640.37,27629.34,7396.94,759.54,462.38
4/11/2023,15655.17,1641.69,27525.51,7390.28,763.32,461.79
4/10/2023,,1628.14,,,,
4/9/2023,,,,,,
4/8/2023,,,,,,
4/7/2023,,1616.61,,,,458.94
4/6/2023,15597.89,1616.97,27213.86,7324.75,759.84,458.94
4/5/2023,15520.17,1618.13,26867.39,7316.3,755.76,456.59
4/4/2023,15603.47,1638.81,27026.56,7344.96,758.36,457.34
4/3/2023,15580.92,1644.69,27179.37,7345.96,758.41,457.72
4/2/2023,,,,,,
4/1/2023,,,,,,
3/31/2023,15628.84,1666.61,27113.95,7322.39,756.18,457.84
3/30/2023,15522.4,1640.44,27021.04,7263.37,752.46,454.84
3/29/2023,15328.78,1612.77,26739.01,7186.99,745.54,450.21
3/28/2023,15142.02,1582.7,26329.46,7088.34,733.81,444.45
3/27/2023,15127.68,1582.61,26206.67,7078.27,735.91,444.72
3/26/2023,,,,,,
3/25/2023,,,,,,
3/24/2023,14957.23,1578.84,25892.18,7015.1,731.81,440.11
3/23/2023,15210.39,1595.1,26482.21,7139.25,743.59,446.22
3/22/2023,15216.19,1578.5,26523.33,7131.12,741.8,447.16
3/21/2023,15195.34,1598.51,26554.33,7112.91,736.18,446.47
3/20/2023,14933.38,1563.7,25899.57,7013.14,729.05,440.6
3/19/2023,,,,,,
3/18/2023,,,,,,
3/17/2023,14768.2,1547.03,25494.54,6925.4,722.43,436.31
3/16/2023,14967.1,1591.01,25918.76,7025.72,727.06,441.64
3/15/2023,14735.26,1601.38,25565.84,6885.71,716.47,436.45
3/14/2023,15232.83,1636.39,26800.98,7141.57,737.52,449.56
3/13/2023,14959.47,1628.18,26183.54,7011.5,727.25,442.8
3/12/2023,,,,,,
3/11/2023,,,,,,
3/10/2023,15427.97,1621.89,27281.96,7220.67,743.03,453.76
3/9/2023,15633.21,1647.99,27710.53,7315.88,753.2,459.98
3/8/2023,15631.87,1665.54,27911.52,7324.76,753.35,460.99
3/7/2023,15559.53,1668.88,27761.57,7339.27,751.52,460.6
3/6/2023,15653.58,1680.97,27949.29,7373.21,759.83,464.18
3/5/2023,,,,,,
3/4/2023,,,,,,
3/3/2023,15578.39,1660.75,27825.08,7348.12,760.57,464.26
3/2/2023,15327.64,1631.15,27397.6,7284.22,755.17,460.02
3/1/2023,15305.02,1642.95,27315.08,7234.25,749.38,457.68
2/28/2023,15365.14,1622.77,27478.37,7267.93,752.93,461.11
2/27/2023,15381.43,1621.62,27444.31,7295.55,756.99,462.58
2/26/2023,,,,,,
2/25/2023,,,,,,
2/24/2023,15209.74,1596.63,26986.35,7187.27,746.41,457.7
2/23/2023,15475.69,1624.99,27277.62,7317.43,755.72,462.5
2/22/2023,15399.89,1623.29,27101.53,7299.26,756.63,462.22
2/21/2023,15397.62,1634.43,27409.34,7308.65,757.66,463.77
2/20/2023,15477.55,1658.34,27597.01,7335.61,762.63,464.64
2/19/2023,,,,,,
2/18/2023,,,,,,
2/17/2023,15482,1652.18,27751.14,7347.72,765.04,464.3
2/16/2023,15533.64,1656.57,27853.74,7366.16,771.69,465.24
2/15/2023,15506.34,1692.52,27533.69,7300.86,769.73,464.36
2/14/2023,15380.56,1663.74,27498.26,7213.81,762.97,462.4
2/13/2023,15397.34,1672.68,27438.61,7208.59,762.64,462.03
2/12/2023,,,,,,
2/11/2023,,,,,,
2/10/2023,15307.98,1662.3,27268.17,7129.73,752.22,457.89
2/9/2023,15523.42,1669.69,27503.75,7188.36,757.05,462.31
2/8/2023,15412.05,1694.46,27160.73,7119.83,748.4,459.46
2/7/2023,15320.88,1700.87,27118.74,7132.35,753.09,458.19
2/6/2023,15345.91,1706.25,27022.33,7137.1,752.4,457.16
2/5/2023,,,,,,
2/4/2023,,,,,,
2/3/2023,15476.43,1722.85,26950.74,7233.94,763.86,460.77
2/2/2023,15509.19,1763.51,27100.62,7166.27,758.61,459.2
2/1/2023,15180.74,1762.58,26703.87,7077.11,747.68,453.09
1/31/2023,15128.27,1743.65,26599.74,7082.42,745.19,453.21
1/30/2023,15126.08,1708.11,26335.98,7082.01,744.83,454.4
1/29/2023,,,,,,
1/28/2023,,,,,,
1/27/2023,15150.03,1730.06,26435.75,7097.21,750.67,455.17
1/26/2023,15132.85,1734.11,26217.56,7095.99,747.21,453.98
1/25/2023,15081.64,1736.44,25875.3,7043.88,741.34,452.07
1/24/2023,15093.11,1752.54,25884.31,7050.48,746.4,453.38
1/23/2023,15102.95,1763.32,25821.45,7032.02,747.87,454.49
1/22/2023,,,,,,
1/21/2023,,,,,,
